name	color	hallmark	disease
EEF1A1			ovarian_neoplasm Down_Syndrome Malignant_neoplasm_of_breast Ovarian_Carcinoma Neoplasm_Metastasis melanoma Malignant_neoplasm_of_pancreas Carcinogenesis Seminoma Colon_Carcinoma Breast_Carcinoma Motor_neuron_atrophy Prostatic_Hypertrophy Germ_cell_tumor Prostate_carcinoma Primary_malignant_neoplasm_of_lung Small_cell_carcinoma_of_lung Malignant_tumor_of_colon Carcinoma_of_lung Colorectal_Neoplasms Inflammatory_Bowel_Diseases Malignant_neoplasm_of_prostate Leukodystrophy Colorectal_Carcinoma Malignant_neoplasm_of_lung Prostatic_Neoplasms Malignant_neoplasm_of_ovary Polymicrogyria Mycoplasma_Infections Felty_Syndrome Prostatic_Hyperplasia Pancreatic_carcinoma Colorectal_Cancer Metastatic_Prostate_Carcinoma Brain_Diseases Non-alcoholic_Fatty_Liver_Disease Liver_carcinoma Encephalopathies Metastasis_from_malignant_tumor_of_prostate Wasting
CCT5	MYC_TARGETS_V1	MYC_TARGETS_V1	Pain Colorectal_Cancer Sensory_neuropathy Widespread_Chronic_Pain Inflammatory_pain Sensory_Neuropathy,_Hereditary Colorectal_Carcinoma Spastic_Paraplegia
PSMA2		INTERFERON_GAMMA_RESPONSE MYC_TARGETS_V1	Parkinson_Disease
EEF1A2			Hyperactive_behavior Dystrophia_myotonica_2 leukemia Atherosclerosis Cardiovascular_Diseases Stage_III_Colon_Cancer_AJCC_v7 Porphyria_Cutanea_Tarda Stomach_Carcinoma Breast_Carcinoma Malignant_tumor_of_colon Muscle_Weakness Tumor_Progression Malignant_neoplasm_of_stomach Cardiovascular_morbidity Mild_cognitive_disorder Hypocholesterolemia Cardiomyopathies Colorectal_Carcinoma Neoplasm_Metastasis Aortic_Aneurysm,_Abdominal Parkinson_Disease Pseudohyperkalemia_Cardiff Malignant_neoplasm_of_prostate Alzheimer's_Disease Acute_Promyelocytic_Leukemia Metabolic_Syndrome_X Leukemia,_Myelocytic,_Acute Coronary_Artery_Disease Rectal_Carcinoma Bleeding_ulcer Hyperlipidemia,_Familial_Combined Impaired_cognition Parkinsonian_Disorders Heart_Diseases Glioma Lupus_Erythematosus,_Systemic Schizophrenia Myositis Primary_Lesion Hypercholesterolemia,_Familial Lung_diseases Parkinsonism,_Juvenile Wasting Chronic_Kidney_Diseases Colorectal_Cancer Malignant_mesothelioma Mammary_Neoplasms Inflammatory_Bowel_Diseases Solid_Neoplasm Hypercholesterolemia Multiple_Myeloma Presenile_dementia melanoma Osteosarcoma Age_related_macular_degeneration Motor_neuron_atrophy Plasmacytoma Malignant_neoplasm_of_pancreas Hepatitis_C,_Chronic Malignant_neoplasm_of_breast Severe_mental_retardation_(I.Q._20-34) Prediabetes_syndrome Adenocarcinoma_of_lung_(disorder) Huntington_Disease Stage_III_Colon_Cancer Hyperlipidemia Cerebrovascular_accident Familial_(FPAH) Asthma Down_Syndrome Hyperlipoproteinemia_Type_IIa nervous_system_disorder Muscle_damage Torsades_de_Pointes Myalgia HIV_Infections Chronic_Obstructive_Airway_Disease Hepatitis_C Peptic_Ulcer Osteosarcoma_of_bone Vascular_Diseases Colon_Carcinoma Myopathy Postoperative_confusion Epilepsy Idiopathic_Inflammatory_Myopathies Malignant_neoplasm_of_ovary Dementia Familial_hypobetalipoproteinemia Angina,_Unstable Pancreatic_carcinoma Glioblastoma Drug_usage Werner_Syndrome Hyperinsulinism Arteriosclerosis Muscle_Cramp Metastatic_Neoplasm Diabetes_Mellitus,_Non-Insulin-Dependent Epileptic_encephalopathy Coronary_Arteriosclerosis Dyslipidemias Coronary_heart_disease Autoimmune_necrotizing_myopathy Diabetic_Foot Myocardial_Infarction Diabetes Chronic_Lymphocytic_Leukemia Pain Alcoholic_Steatohepatitis Epithelial_ovarian_cancer Diabetes_Mellitus Osteoporosis Carcinoma_of_lung Retinitis_Pigmentosa Psoriasis ovarian_neoplasm Ischemic_stroke Adenoma Pancreatic_Ductal_Adenocarcinoma Myocardial_Ischemia Carcinogenesis Steatohepatitis Colorectal_cancer_metastatic Prostate_carcinoma Malignant_neoplasm_of_large_intestine Young_onset_Parkinson_disease Peripheral_Arterial_Diseases Malignant_neoplasm_of_lung Diabetic_Angiopathies Early-Stage_Breast_Carcinoma Primary_hypercholesterolemia Ovarian_Carcinoma Liver_carcinoma Hodgkin_Disease Primary_malignant_neoplasm_of_lung Obesity Autoimmune_Diseases Restenosis Cardiomyopathy,_Dilated Neurodevelopmental_Disorders Acute_Coronary_Syndrome
NHP2L1			
RPL15			Anemia,_Diamond-Blackfan Stomach_Carcinoma Pancreatic_Ductal_Adenocarcinoma Malignant_neoplasm_of_stomach Carcinogenesis Tumor_Progression
GFM2			
EIF2S3L			
RPS14	UNFOLDED_PROTEIN_RESPONSE	UNFOLDED_PROTEIN_RESPONSE	Anemia Myelofibrosis Thrombocytosis Mammary_Neoplasms Lymphoid_leukemia Obesity Anemia,_Diamond-Blackfan Malignant_neoplasm_of_breast Chromosome_5,_trisomy_5q Anemia,_Macrocytic Breast_Carcinoma 5q-syndrome Hypoplastic_anemia Pancytopenia Primary_Myelofibrosis Leukemogenesis MYELODYSPLASTIC_SYNDROME Mandibulofacial_Dysostosis Myelodysplastic_Syndrome_with_Isolated_del(5q)
CCT7	MYC_TARGETS_V1	MYC_TARGETS_V1	Colorectal_Carcinoma Myocardial_Infarction Dupuytren_Contracture Colorectal_Cancer
EIF2S3	UV_RESPONSE_UP	UV_RESPONSE_UP	Diabetes_Mellitus Alzheimer's_Disease Multiple_Myeloma Virus_Diseases liposarcoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Malignant_neoplasm_of_liver Intellectual_Disability Squamous_cell_carcinoma Microcephaly Childhood_Ataxia_with_Central_Nervous_System_Hypomyelinization Non-Small_Cell_Lung_Carcinoma Hepatitis_C Leukoencephalopathies nervous_system_disorder Diabetes Spastic_syndrome Dystrophia_myotonica_2 Carcinogenesis Wolcott-Rallison_syndrome
HSD17B8			
CCT4	MYC_TARGETS_V1	MYC_TARGETS_V1	Sensory_Neuropathy,_Hereditary Sensory_neuropathy Malignant_neoplasm_of_breast Breast_Carcinoma Non-Small_Cell_Lung_Carcinoma
RPS4X			Rheumatoid_Arthritis Gonadal_Dysgenesis,_45,X Colorectal_Cancer Breast_Carcinoma Colorectal_Carcinoma Histoplasmosis Pancreatic_carcinoma Turner_Syndrome Multiple_Sclerosis Malignant_neoplasm_of_breast Amyloidosis Tuberculosis
RFC4		DNA_REPAIR MYC_TARGETS_V1 UV_RESPONSE_UP SPERMATOGENESIS	Glioblastoma Mammary_Neoplasms
GFM1			Myelodysplastic_Syndrome_with_Isolated_del(5q) tumor_vasculature Leigh_Disease Brain_Neoplasms Breast_Carcinoma Neoplasm_Metastasis Primary_malignant_neoplasm_of_lung Cervix_carcinoma Liver_Failure Glioma Polymicrogyria Liver_diseases Biliary_Tract_Cancer Oxidative_Phosphorylation_Deficiencies Malignant_neoplasm_of_lung Adenovirus_Infections Congenital_Disorders_of_Glycosylation Carcinoma_of_lung Malignant_neoplasm_of_breast MYELODYSPLASTIC_SYNDROME Leukemia,_Myelomonocytic,_Chronic Brain_Diseases Glioblastoma Encephalopathies Mitochondrial_Diseases Mitochondrial_encephalopathy Craniosynostosis
PTRH2	IL2_STAT5_SIGNALING	IL2_STAT5_SIGNALING	Neoplasm_Metastasis Squamous_cell_carcinoma_of_esophagus Sensorineural_Hearing_Loss_(disorder) Secondary_malignant_neoplasm_of_lung Non-Small_Cell_Lung_Carcinoma Squamous_cell_carcinoma Carcinoma_of_lung Lymphatic_Metastasis Adenocarcinoma_of_lung_(disorder) Malignant_neoplasm_of_breast Breast_Carcinoma Primary_malignant_neoplasm_of_lung Peripheral_Neuropathy Tumor_Progression Malignant_neoplasm_of_lung
PSMC6		MTORC1_SIGNALING MYC_TARGETS_V1	Malignant_neoplasm_of_prostate Glioblastoma Human_anaplasmosis_due_to_Anaplasma_phagocytophilum Testicular_Neoplasms Colon_Carcinoma Memory_impairment Seminoma Benign_Prostatic_Hyperplasia Prostate_carcinoma androgen_independent_prostate_cancer Iron_deficiency Ataxia,_Spinocerebellar Diabetes_Mellitus,_Insulin-Dependent Spinal_Muscular_Atrophy Huntington_Disease Prostatic_Hyperplasia pricking_of_skin Acute_Promyelocytic_Leukemia
KLHDC8A	KRAS_SIGNALING_DN	KRAS_SIGNALING_DN	
KLHDC8B			Hodgkin's-like Classical_Hodgkin's_Lymphoma Lymphoma
RPL19			Colorectal_Carcinoma Primary_malignant_neoplasm_of_lung Malignant_neoplasm_of_breast Malignant_neoplasm_of_prostate Adenocarcinoma_of_lung_(disorder) Colorectal_Cancer Prostate_carcinoma Mammary_Neoplasms Carcinoma_of_lung Malignant_neoplasm_of_lung Non-Small_Cell_Lung_Carcinoma Breast_Carcinoma
RPL23			Stomach_Carcinoma Leukemia,_Myelocytic,_Acute MYELODYSPLASTIC_SYNDROME Arthritis,_Reactive Autoimmune_Diseases Malignant_neoplasm_of_stomach
GUF1			
PSMC3	UV_RESPONSE_UP	UV_RESPONSE_UP	Breast_Carcinoma Malignant_neoplasm_of_breast
RFC2		DNA_REPAIR E2F_TARGETS	Malignant_neoplasm_of_breast Arthritis,_Psoriatic Breast_Carcinoma Central_neuroblastoma Diabetes_Mellitus Obesity Choriocarcinoma Gestational_trophoblastic_disease Williams_Syndrome Diabetes Osteosarcoma_of_bone Asthma Neuroblastoma Metabolic_Syndrome_X Diabetes_Mellitus,_Non-Insulin-Dependent Osteosarcoma Age_related_macular_degeneration
CCT3	MYC_TARGETS_V1	MYC_TARGETS_V1	Muscle_degeneration Colorectal_Carcinoma Colorectal_Cancer Eosinophilic_myositis_(disorder) Rheumatoid_Arthritis Myotonic_Dystrophy Dystrophia_myotonica_2 FRIEDREICH_ATAXIA_1 Liver_carcinoma Micrognathism Medullary_cystic_kidney_disease_1
CCT6B	SPERMATOGENESIS	SPERMATOGENESIS	
PSMC4		MTORC1_SIGNALING MYC_TARGETS_V1 GLYCOLYSIS	Breast_Carcinoma Malignant_neoplasm_of_breast Familial_lichen_amyloidosis Mammary_Neoplasms Parkinson_Disease
MTG2			
PPIL3			Malignant_neoplasm_of_liver Carcinogenesis Glioma Gastric_Adenocarcinoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Liver_carcinoma
RPL8			Breast_Carcinoma melanoma
GLRX5	HEME_METABOLISM	HEME_METABOLISM	Optic_Atrophy Anemia Friedreich_Ataxia Spastic_Paraplegia Sideroblastic_anemia Myopathy Anemia,_severe Iron_Overload Nonketotic_Hyperglycinemia Liver_carcinoma
PSMC5			Atherosclerosis Mammary_Neoplasms Neuroblastoma Central_neuroblastoma Arteriosclerosis
PPP1CC			Malignant_neoplasm_of_lung Mammary_Neoplasms Primary_malignant_neoplasm_of_lung Male_infertility Carcinoma_of_lung
CBR4	KRAS_SIGNALING_UP	KRAS_SIGNALING_UP	
CCT6A	MTORC1_SIGNALING	MTORC1_SIGNALING	Colorectal_Cancer Schizophrenia Colorectal_Carcinoma Carcinogenesis
ENSG00000264813			
PPP1CA		TGF_BETA_SIGNALING PI3K_AKT_MTOR_SIGNALING	Carcinoma_of_lung Malignant_neoplasm_of_stomach Maxillary_Sinus_Squamous_Cell_Carcinoma Neoplasm_Metastasis Stomach_Carcinoma Primary_malignant_neoplasm_of_lung Alzheimer's_Disease Glioblastoma Liver_carcinoma Malignant_neoplasm_of_breast Mammary_Neoplasms Glioblastoma_Multiforme Breast_Carcinoma Multiple_Endocrine_Neoplasia_Type_1 Middle_East_Respiratory_Syndrome Amyloidosis Malignant_neoplasm_of_lung
PSMA4		MTORC1_SIGNALING MYC_TARGETS_V1	Malignant_neoplasm_of_lung Carcinoma_of_lung Primary_biliary_cirrhosis Lung_Neoplasms Alveolar_Soft_Part_Sarcoma Primary_malignant_neoplasm_of_lung
HSPA1L	SPERMATOGENESIS	SPERMATOGENESIS	Complete_atrioventricular_block Graft-vs-Host_Disease Unipolar_Depression Lymphoma Severe_Sepsis Hepatitis_B,_Chronic Carcinoma_of_lung Uveitis Schizophrenia High_altitude_pulmonary_edema Paranoid_Schizophrenia Sarcoid_uveitis Liver_carcinoma Spondylarthropathies Acute_GVH_disease Cataract Breast_Carcinoma Tuberculosis Malignant_neoplasm_of_lung Sarcoidosis Essential_Hypertension Tumor_Progression Lymphoma,_Non-Hodgkin Major_Depressive_Disorder Asthma Cerebrovascular_accident Hepatitis,_Chronic Hepatitis,_Drug-Induced Undifferentiated_spondyloarthropathy Ankylosing_spondylitis Major_depression,_single_episode Parkinson_Disease Liver_Failure Lupus_Erythematosus,_Systemic Childhood_Acute_Lymphoblastic_Leukemia Primary_malignant_neoplasm_of_lung
DHRS4			
RPS3	MYC_TARGETS_V1	MYC_TARGETS_V1	melanoma Malignant_neoplasm_of_breast Breast_Carcinoma Osteosarcoma Werner_Syndrome Osteosarcoma_of_bone Squamous_cell_carcinoma Secondary_malignant_neoplasm_of_lung Adenocarcinoma Transient_ischemia Oedema_auricular
MTRF1L			
HSPA6			Malignant_neoplasm_of_prostate Prostate_carcinoma
KLHL2			myeloblastosis Nephroblastoma
HSPA8	G2M_CHECKPOINT	G2M_CHECKPOINT	Glioma Merkel_cell_carcinoma Neoplasm_Metastasis Prostate_carcinoma Adenocarcinoma Huntington_Disease Dystonia Amyotrophic_Lateral_Sclerosis Invasive_carcinoma_of_breast Herpes_Simplex_Infections Lung_Neoplasms Cystic_Fibrosis Neuroblastoma Central_neuroblastoma Rabies_(disorder) Glioblastoma Psychotic_episodes Hepatitis_C Melanocytic_nevus melanoma Hepatitis_B Breast_Carcinoma Dystonia_Disorders Liver_carcinoma Tauopathies Exanthema Muscular_Dystrophy Cardiomyopathies Coronary_Artery_Disease Adult_Extraskeletal_Myxoid_Chondrosarcoma Multiple_Myeloma Filariasis Carcinoma_of_lung Myeloid_Leukemia,_Chronic Primary_malignant_neoplasm_of_lung Cervical_Squamous_Cell_Carcinoma Malignant_tumor_of_colon Virus_Diseases Infection_by_Wuchereria_bancrofti Uterine_Cancer Ataxia,_Spinocerebellar Kidney_Failure,_Acute Melanocytic_nevus_of_skin Alzheimer's_Disease Very_Low_Birth_Weight Rheumatoid_Arthritis Colon_Carcinoma Extraskeletal_Myxoid_Chondrosarcoma Malignant_neoplasm_of_lung X-Linked_Emery-Dreifuss_Muscular_Dystrophy Malignant_neoplasm_of_prostate Coronary_heart_disease Parkinson_Disease Coronary_Arteriosclerosis SPINOCEREBELLAR_ATAXIA_17 Malignant_neoplasm_of_breast
ACE2			Malaria,_Cerebral Metabolic_Diseases temporal_pain Respiratory_morbidity AORTIC_VALVE_DISEASE_2 Middle_Cerebral_Artery_Occlusion Atherosclerosis Malignant_neoplasm_of_breast Aortic_Valve_Stenosis Endothelial_dysfunction Diabetes_Mellitus,_Insulin-Dependent Steatohepatitis Encephalitis Ischemic_stroke Malignant_neoplasm_of_gallbladder Severe_Acute_Respiratory_Syndrome Left_Ventricular_Hypertrophy Acute_myocardial_infarction Obesity Adenocarcinoma_of_lung_(disorder) Inflammatory_abnormality_of_the_eye Heart_failure Septicemia Renal_Insufficiency Impaired_glucose_tolerance Pulmonary_Fibrosis Coronary_heart_disease Renal_hypertension Heart_Diseases Fibrosis,_Liver Neurogenic_hypertension Diabetes_Mellitus Chronic_heart_failure Cerebral_arterial_aneurysm Hyperglycemia Respiratory_Distress_Syndrome,_Adult Mitral_Valve_Prolapse_Syndrome Liver_diseases Lung_diseases Vesico-Ureteral_Reflux Congestive_heart_failure Vascular_Diseases Hypertrophic_Cardiomyopathy Gallbladder_Carcinoma Intracranial_Aneurysm Migraine_Disorders Psoriasis Cavernous_Hemangioma_of_Brain Pancreatic_carcinoma Atrial_Fibrillation Essential_Hypertension FRIEDREICH_ATAXIA_1 Sepsis Kidney_Diseases Nodular_glomerulosclerosis Malignant_neoplasm_of_pancreas Diabetes_Mellitus,_Non-Insulin-Dependent Coronary_Artery_Disease Ischemic_cardiomyopathy Psychological_symptom Fatty_Liver Nephritis Aortic_valve_disorder Influenza Breast_Carcinoma Pneumonitis Pneumonia Dementia Coronavirus_Infections Hartnup_Disease Myocardial_Ischemia Cerebrovascular_accident Presenile_dementia Aneurysm Stroke,_Lacunar Glomerulosclerosis_(disorder) Hypertensive_emergency Acute_Coronary_Syndrome Amyloidosis Malaria Congenital_posterior_urethral_valves Cardiomyopathy,_Familial_Idiopathic Aortic_Valve_Insufficiency Overweight Aortic_Aneurysm,_Abdominal Coughing Hypertensive_urgency Mammary_Neoplasms Renal_sclerosis_with_hypertension CATARACT,_MARNER_TYPE Virus_Diseases Cerebral_Infarction Myocardial_Infarction Diabetic_Nephropathy Influenza_A/H5N1 Infectious_disease_of_lung Diabetes Coronary_Arteriosclerosis Myocarditis Cardiovascular_Diseases Cholera Hypertensive_disease Bicuspid_aortic_valve Arteriosclerosis Tracheal_Diseases
SDR16C5			
HSPA2		UV_RESPONSE_UP SPERMATOGENESIS	Azoospermia Carotid_Stenosis Transitional_cell_carcinoma_of_bladder Carcinoma_of_bladder Ankylosing_spondylitis Non-Small_Cell_Lung_Carcinoma Malignant_neoplasm_of_prostate Congenital_chromosomal_disease Bladder_Neoplasm Pancreatitis Spondylarthropathies Inflammatory_Bowel_Diseases Malignant_neoplasm_of_stomach Renal_Cell_Carcinoma Cerebral_Ischemia Male_infertility Carcinoma_of_lung Stomach_Carcinoma Teratozoospermia Malignant_neoplasm_of_urinary_bladder Graves_Disease Multiple_Sclerosis Severe_Sepsis Arteriosclerosis Colorectal_Cancer Primary_malignant_neoplasm_of_lung Pancreatitis,_Chronic Prostate_carcinoma Tumor_Angiogenesis Liver_carcinoma Acute_pancreatitis Congestive_heart_failure Crohn_Disease Neoplasms Cerebrovascular_accident Community_acquired_pneumonia Agranulocytosis Urothelial_Carcinoma Nasopharyngeal_carcinoma Ulcerative_Colitis Osteopenia Neoplasm_Metastasis Diabetes_Mellitus Enterocutaneous_Fistula Coronary_Artery_Disease Transient_Ischemic_Attack Malignant_neoplasm_of_lung Diabetes_Mellitus,_Insulin-Dependent Immunologic_Deficiency_Syndromes Breast_Carcinoma Colorectal_Carcinoma Atherosclerosis Zinc_deficiency Congenital_absence_of_germinal_epithelium_of_testes Carcinoma,_Transitional_Cell Carcinogenesis Pancreatic_carcinoma Diabetes_Mellitus,_Non-Insulin-Dependent Obesity Leishmaniasis,_Visceral Lymphoma Diabetes
ACADL		ADIPOGENESIS FATTY_ACID_METABOLISM	Malignant_neoplasm_of_stomach Hypoglycemia Liver_carcinoma Stomach_Carcinoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Malignant_neoplasm_of_liver Liver_neoplasms
MMP7	COAGULATION	COAGULATION	Infection_caused_by_Helicobacter_pylori Stomach_Carcinoma Bronchiolitis_Obliterans Tumor_Initiation Intestinal_Neoplasms polyps Luminal_A_Breast_Carcinoma Triple_Negative_Breast_Neoplasms Fanconi_Anemia Follicular_adenoma Prostate_carcinoma Biliary_Tract_Cancer Secondary_malignant_neoplasm_of_lymph_node cervical_cancer Childhood_Leukemia Adenocarcinoma_Of_Esophagus Male_infertility Renal_fibrosis Bladder_Neoplasm melanoma stage,_prostate_cancer Secondary_malignant_neoplasm_of_bone Neoplasms Malignant_neoplasm_of_urinary_bladder Pancreatitis,_Chronic Arteriosclerosis Norrie_disease Leukemia,_T-Cell Malignant_neoplasm_of_stomach Hamman-Rich_syndrome Multiple_Sclerosis Adenocarcinoma_of_colon Pancreatic_carcinoma Primary_malignant_neoplasm_of_lung Breast_Carcinoma Colonic_Neoplasms Immunologic_Deficiency_Syndromes Intraepithelial_Neoplasia Chondrosarcoma Kidney_Diseases Squamous_cell_carcinoma_of_esophagus keratoacanthoma Malignant_Head_and_Neck_Neoplasm Ureteral_obstruction Adenocarcinoma Hereditary_Nonpolyposis_Colorectal_Cancer Oral_Cavity_Carcinoma Ovarian_Carcinoma Carcinoma,_Neuroendocrine Lung_Neoplasms Malignant_Pleural_Mesothelioma Prostatic_Neoplasms Gastrointestinal_ulcer Ischemic_stroke Benign_neoplasm_of_intestinal_tract Anaplastic_thyroid_carcinoma Malignant_neoplasm_of_mouth Squamous_cell_carcinoma Asthma Coronary_Artery_Disease Invasive_Carcinoma Interstitial_lung_fibrosis Lupus_Erythematosus,_Systemic Bowen's_Disease Non-Small_Cell_Lung_Carcinoma Precancerous_Conditions Bone_Diseases Metastatic_Neoplasm Cervix_carcinoma PNEUMOTHORAX,_PRIMARY_SPONTANEOUS Renal_Cell_Carcinoma Adenomatous_Polyps Hyperplastic_Polyp Skin_Carcinogenesis Malignant_neoplasm_of_breast Hepatic_Vein_Thrombosis Adenocarcinoma_of_lung_(disorder) bone_destruction Malignant_tumor_of_cervix Yolk_Sac_Tumor Diabetes_Mellitus,_Non-Insulin-Dependent Adenomatous_Polyposis_Coli Primary_Carcinoma Malignant_neoplasm_of_pancreas Thyroid_carcinoma Tuberculosis Metastatic_malignant_neoplasm_to_brain Malignant_neoplasm_of_endometrium FANCONI_ANEMIA,_COMPLEMENTATION_GROUP_A_(disorder) Biliary_Atresia Neuroendocrine_Tumors Colorectal_Cancer Liver_neoplasms Multiple_Myeloma Pancreatic_Ductal_Adenocarcinoma Cirrhosis leukemia HER2_gene_amplification Liver_Cirrhosis Carcinogenesis Diabetic_Nephropathy Malignant_tumor_of_colon Enterochromaffin-like_cell_carcinoid Malignant_neoplasm_of_esophagus Teratoma Neck_Neoplasms Polyradiculoneuropathy,_Chronic_Inflammatory_Demyelinating Adenocarcinoma_of_prostate Seminoma Bone_Sarcoma Pancreatitis Carcinoma_of_bladder Budd-Chiari_Syndrome Tumor_Angiogenesis Idiopathic_Pulmonary_Fibrosis Astrocytoma Malignant_neoplasm_of_gastrointestinal_tract Malignant_neoplasm_of_prostate Degenerative_polyarthritis Trichiasis Patent_ductus_arteriosus Endometriosis_of_uterus Liver_carcinoma Metastatic_Prostate_Carcinoma Squamous_cell_carcinoma_of_skin Colorectal_Carcinoma Epithelial_ovarian_cancer Malignant_Squamous_Cell_Neoplasm Perianal_Squamous_Intraepithelial_Neoplasia Secondary_malignant_neoplasm_of_lung Adenoma Healing_ulcer Tracheal_Diseases Hallopeau-Siemens_Disease precancerous_lesions Colon_Carcinoma Lichen_Planus,_Oral early_pregnancy Endometrial_Carcinoma Carcinoma,_Large_Cell Adenoma_of_large_intestine Neoplasm_Metastasis Colorectal_Neoplasms Internal_Carotid_Artery_Stenosis Ulcerative_Colitis Esophageal_carcinoma Ulcer Endometriosis Recurrent_tumor Cystic_Fibrosis Kaposi_Sarcoma Hepatitis,_Alcoholic Mammary_Neoplasms Tumor_Progression Rectal_Carcinoma Gastric_ulcer Malignant_neoplasm_of_lung Gastric_Adenocarcinoma Coronary_Arteriosclerosis Lymphangioleiomyomatosis Inflammatory_Bowel_Diseases Follicular_thyroid_carcinoma Glioma Fibromatosis,_Aggressive Osteosarcoma ovarian_neoplasm Carotid_Atherosclerosis Carcinoma_of_lung Adenocarcinoma_of_large_intestine Pulmonary_Fibrosis Nasopharyngeal_carcinoma Lip_and_Oral_Cavity_Carcinoma Fibrosis,_Liver Coronary_heart_disease stage,_gastric_cancer Epithelioma Lymphatic_Metastasis Eclampsia Colitis Peptic_Ulcer Malignant_neoplasm_of_ovary Adenocarcinoma_of_pancreas Osteosarcoma_of_bone Secondary_malignant_neoplasm_of_liver Esophageal_Neoplasms Adult_T-Cell_Lymphoma/Leukemia Mammary_Tumorigenesis Uterine_Corpus_Cancer Solid_Neoplasm Muscular_Dystrophy,_Duchenne Colitis,_Collagenous Malignant_neoplasm_of_thyroid Atherosclerosis Barrett_Esophagus
ALOX12			Ovarian_Carcinoma Toxoplasmosis Psoriasis Malignant_neoplasm_of_ovary Cardiovascular_Diseases Diabetes_Mellitus,_Non-Insulin-Dependent Epithelial_ovarian_cancer Solid_Neoplasm Anaplasia Breast_Carcinoma Asthma Myeloproliferative_disease Benign_Prostatic_Hyperplasia Rheumatoid_Arthritis Schizophrenia Squamous_cell_carcinoma_of_esophagus Rectal_Carcinoma Obesity Carcinogenesis Leukemia,_Myelocytic,_Acute Essential_Hypertension Diabetic_Nephropathy Malignant_neoplasm_of_prostate Osteoporosis Arteriosclerosis Ischemic_stroke Neuroblastoma Retinal_Diseases Prostate_carcinoma Pneumonitis Pyruvate_Carboxylase_Deficiency_Disease Stomach_Carcinoma Pneumonia Prostatic_Intraepithelial_Neoplasias Wheezing Colorectal_Cancer Atherosclerosis Post-Traumatic_Stress_Disorder Diabetes_Mellitus Acute_Myeloid_Leukemia_with_Myelodysplasia-Related_Changes Vitelliform_Macular_Dystrophy Diabetes Hypertensive_disease Becker_Muscular_Dystrophy Malignant_neoplasm_of_breast Malignant_neoplasm_of_stomach Adenoma Central_neuroblastoma Colorectal_Carcinoma Bipolar_Disorder Adenoma_of_large_intestine Squamous_cell_carcinoma Toxoplasmosis,_Congenital Neoplasm_Metastasis Sepsis
DHRS3		ESTROGEN_RESPONSE_EARLY IL2_STAT5_SIGNALING PEROXISOME	Neuroblastoma Neoplasm_Metastasis Central_neuroblastoma Rudiger_syndrome_1 ADULT_SYNDROME Papillary_thyroid_carcinoma Obesity
