name	hallmark	disease
GLRX5	HEME_METABOLISM	Optic_Atrophy Anemia Friedreich_Ataxia Spastic_Paraplegia Sideroblastic_anemia Myopathy Anemia,_severe Iron_Overload Nonketotic_Hyperglycinemia Liver_carcinoma
RPS14	UNFOLDED_PROTEIN_RESPONSE	Anemia Myelofibrosis Thrombocytosis Mammary_Neoplasms Lymphoid_leukemia Obesity Anemia,_Diamond-Blackfan Malignant_neoplasm_of_breast Chromosome_5,_trisomy_5q Anemia,_Macrocytic Breast_Carcinoma 5q-syndrome Hypoplastic_anemia Pancytopenia Primary_Myelofibrosis Leukemogenesis MYELODYSPLASTIC_SYNDROME Mandibulofacial_Dysostosis Myelodysplastic_Syndrome_with_Isolated_del(5q)
PTRH2	IL2_STAT5_SIGNALING	Neoplasm_Metastasis Squamous_cell_carcinoma_of_esophagus Sensorineural_Hearing_Loss_(disorder) Secondary_malignant_neoplasm_of_lung Non-Small_Cell_Lung_Carcinoma Squamous_cell_carcinoma Carcinoma_of_lung Lymphatic_Metastasis Adenocarcinoma_of_lung_(disorder) Malignant_neoplasm_of_breast Breast_Carcinoma Primary_malignant_neoplasm_of_lung Peripheral_Neuropathy Tumor_Progression Malignant_neoplasm_of_lung
CCT7	MYC_TARGETS_V1	Colorectal_Carcinoma Myocardial_Infarction Dupuytren_Contracture Colorectal_Cancer
CCT6B	SPERMATOGENESIS	
PSMA1	MYC_TARGETS_V1	High-Grade_Squamous_Intraepithelial_Lesions Cervical_Intraepithelial_Neoplasia Cervix_carcinoma MYELODYSPLASTIC_SYNDROME Squamous_intraepithelial_lesion Low_Grade_Squamous_Intraepithelial_Neoplasia Cervical_intraepithelial_neoplasia_grade_2 Hepatitis_B Breast_Carcinoma Malignant_neoplasm_of_breast Coinfection
MAPK8	PI3K_AKT_MTOR_SIGNALING	Tumor_Progression Age_related_macular_degeneration secondary_acute_myeloid_leukemia Metastatic_Prostate_Carcinoma Memory_impairment Giant_Cell_Arteritis Alzheimer's_Disease Xeroderma_Pigmentosum Malignant_lymphoma,_lymphocytic,_intermediate_differentiation,_diffuse Embryonal_Rhabdomyosarcoma Craniosynostosis Bladder_Neoplasm Cockayne_Syndrome Glioblastoma_Multiforme Osteosarcoma Respiration_Disorders Leukemia,_Myelocytic,_Acute Fibrosarcoma Hepatocarcinogenesis Central_neuroblastoma Amelogenesis_imperfecta_nephrocalcinosis Pain Acute_Promyelocytic_Leukemia Malignant_neoplasm_of_lung Optic_Neuropathy Malignant_neoplasm_of_pancreas Multiple_Myeloma Kaposi_Sarcoma Malignant_neoplasm_of_mouth Ichthyosis,_X-Linked Degenerative_polyarthritis Neoplasm_Metastasis Squamous_cell_carcinoma_of_esophagus Hypoglycemia Anemia,_Diamond-Blackfan Hyperkeratosis_lenticularis_perstans Chronic_liver_disease Lymphoma,_Non-Hodgkin Conventional_(Clear_Cell)_Renal_Cell_Carcinoma Malignant_neoplasm_of_breast Pancreatic_Neoplasm Blast_Phase Rheumatoid_Arthritis Necrotizing_enterocolitis_in_fetus_OR_newborn Primary_malignant_neoplasm_of_lung Keratitis Hepatitis_B,_Chronic Parkinson_Disease,_Familial,_Type_1 Secondary_malignant_neoplasm_of_lung Astrocytoma Colitis Hamartoma_Syndrome,_Multiple Gallbladder_Carcinoma Arthropathy Endometriosis Prostate_carcinoma MYELODYSPLASTIC_SYNDROME Tumor_Angiogenesis Neoplasms Malignant_Neoplasms Myocardial_Infarction Cystic_Fibrosis Metabolic_Diseases Steroid_Sulfatase_Deficiency_Disease Cervix_carcinoma Stomach_Carcinoma Osteoarthritis,_Knee Infection_by_Candida_albicans Adult-onset_citrullinemia_type_2 Liver_neoplasms Malignant_neoplasm_of_gastrointestinal_tract cervical_cancer Malignant_Pleural_Mesothelioma Fanconi_Anemia Liver_carcinoma FANCONI_ANEMIA,_COMPLEMENTATION_GROUP_A_(disorder) leukemia Arthritis Squamous_cell_carcinoma Metabolic_Syndrome_X Chronic_Lymphocytic_Leukemia Steatohepatitis Colorectal_Cancer Ureteral_obstruction Pneumonia Heartburn Asthma insulinoma Waisman_syndrome Childhood_Osteosarcoma Disease_caused_by_Shigella_flexneri Pemphigus_Vulgaris Myeloid_Leukemia,_Chronic Malignant_neoplasm_of_stomach Hepatitis_C Papillary_serous_cystadenocarcinoma Liver_diseases Neurodegenerative_Disorders Psoriasis Microcephaly Epithelial_ovarian_cancer Glioma Carcinogenesis Invasive_Ductal_Breast_Carcinoma Epstein-Barr_Virus_Infections Ewings_sarcoma Multiple_Sclerosis Malignant_neoplasm_of_kidney melanoma Malignant_Peripheral_Nerve_Sheath_Tumor Malignant_Glioma Primary_infection_NOS Carcinoma_of_bladder Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Rotavirus_Infections Colon_Carcinoma Aortic_Aneurysm,_Abdominal Bone_Diseases Amyotrophic_Lateral_Sclerosis Head_and_Neck_Carcinoma Anemia,_Sickle_Cell Prediabetes_syndrome Promyelocytic_leukemia Neural_Tube_Defects Transitional_cell_carcinoma_of_bladder Glucocorticoid_Receptor_Deficiency MIXED_LINEAGE_LEUKEMIA Carcinoma_of_lung Virus_Diseases Fatty_Liver bone_destruction Diabetes Secondary_malignant_neoplasm_of_lymph_node Triple_Negative_Breast_Neoplasms Malignant_neoplasm_of_prostate Disorder_of_the_optic_nerve Grip_strength_decreased Impaired_cognition Malignant_neoplasm_of_ovary Influenza Impaired_glucose_tolerance Primary_malignant_neoplasm Childhood_Chronic_Myelogenous_Leukemia,_BCR-ABL1_Positive Diabetes_Mellitus,_Non-Insulin-Dependent Thyroid_carcinoma Inflammatory_Bowel_Diseases Medulloblastoma Metastasis_from_malignant_tumor_of_prostate Pituitary_Neoplasms Cardiomyopathy,_Familial_Idiopathic Malignant_neoplasm_of_liver Glioblastoma Nasopharyngeal_carcinoma Multiple_malignancy Hereditary_gingival_fibromatosis Renal_carcinoma Renal_fibrosis Hypertensive_disease Retinoblastoma Amyloidosis Colorectal_Carcinoma Acute_Erythroblastic_Leukemia Breast_Carcinoma Pancreatic_carcinoma Hyperinsulinism Human_immunodeficiency_virus_II_infection Hyperglycemia Ovarian_Carcinoma Congestive_heart_failure Pneumonitis Rhabdomyosarcoma Alveolar_rhabdomyosarcoma Non-Small_Cell_Lung_Carcinoma Diabetic_Nephropathy Apert_syndrome Obesity Respiratory_syncytial_virus_(RSV)_infection_in_conditions_classified_elsewhere_and_of_unspecified_site Small_cell_carcinoma_of_lung Malignant_tumor_of_colon Colonic_Neoplasms Solid_Neoplasm Malignant_neoplasm_of_gallbladder Lymphoma Neuroblastoma Malignant_tumor_of_cervix Agenesis_of_corpus_callosum Aplasia_Cutis_Congenita Huntington_Disease Respiratory_Tract_Diseases Familial_lichen_amyloidosis Epidermolysis_Bullosa_Simplex Coronary_Artery_Disease Hypothalamic_hamartomas Precursor_T-Cell_Lymphoblastic_Leukemia-Lymphoma Lip_and_Oral_Cavity_Carcinoma Diabetes_Mellitus Fetal_Alcohol_Syndrome Chondrosarcoma Osteosarcoma_of_bone Recurrent_tumor Myeloid_Leukemia Ki-1+_Anaplastic_Large_Cell_Lymphoma Precapillary_pulmonary_hypertension Squamous_cell_carcinoma_of_the_head_and_neck synovial_sarcoma Traditional_Serrated_Adenoma Restrictive_cardiomyopathy Coronary_heart_disease B-Cell_Lymphomas Heart_failure Parkinson_Disease Necrotizing_Enterocolitis Neoplasms,_Intracranial Tuberculosis Schizophrenia Malignant_Head_and_Neck_Neoplasm Insulin_resistance_in_diabetes
ELANE	ALLOGRAFT_REJECTION	Neutropenia,_severe_chronic VITILIGO-ASSOCIATED_MULTIPLE_AUTOIMMUNE_DISEASE_SUSCEPTIBILITY_1_(finding) Tumor_Progression Hodgkin_Disease Malignant_neoplasm_of_lung Blood_Platelet_Disorders Arthritis Colitis Breast_Carcinoma Carcinogenesis Recurrent_fevers Nuclear_cataract Immune_neutropenia Adult_Solid_Neoplasm Mucosal_ulcer Hepatitis_C Vasculitis Mycoses Acute_Promyelocytic_Leukemia Congestive_heart_failure Bronchopulmonary_Dysplasia Nevus_elasticus Ulcer Nuclear_non-senile_cataract Tuberculosis Lung_diseases Nasopharyngeal_carcinoma Mammary_Tumorigenesis leukemia Myeloid_Leukemia Congenital_bilateral_aplasia_of_vas_deferens beta^+^_Thalassemia Hepatocarcinogenesis Vitiligo Bone_Marrow_failure_syndromes Cardiac_defects Cooley's_anemia Asthma Cardiovascular_Diseases Cystic_Fibrosis Colon_Carcinoma Coronary_Artery_Disease Myelodysplasia Periodontitis Promyelocytic_leukemia Cardiomyopathy,_Familial_Idiopathic Hepatoblastoma Cyclic_neutropenia beta_Thalassemia Pneumonia Obesity Leukopenia Down_Syndrome Non-Small_Cell_Lung_Carcinoma Malignant_tumor_of_colon Kidney_Failure,_Acute Hyperinsulinism Coronary_Arteriosclerosis Myeloid_Leukemia,_Chronic Cerebrovascular_accident Arteriopathic_disease Plasminogen_Deficiency,_Type_I Bronchiolitis_Obliterans MYELODYSPLASTIC_SYNDROME Carcinoma_of_lung Chronic_Obstructive_Airway_Disease Liver_carcinoma alpha-1-Antitrypsin_Deficiency,_Autosomal_Recessive Neutrophilia_(disorder) Childhood_Solid_Neoplasm Relapsing_Fever Chronic_lung_disease Ligneous_conjunctivitis Pneumonitis Lung_Neoplasms Joint_swelling Bacterial_Infections Coronary_heart_disease alpha_1-Antitrypsin_Deficiency Adrenoleukodystrophy Bronchitis,_Chronic Mammary_Neoplasms Neoplasm_Metastasis Respiratory_Distress_Syndrome,_Newborn Prostate_carcinoma Neoplasms Leukemia,_Myelocytic,_Acute Adenocarcinoma_of_lung_(disorder) Septicemia Epilepsy Specific_granule_deficiency Steatohepatitis Hermanski-Pudlak_Syndrome Lymphoma Fatty_Liver Alzheimer's_Disease Malignant_neoplasm_of_breast Hyperactive_behavior Rett_Syndrome Neutropenia Amyloidosis Pulmonary_Emphysema Hemochromatosis Ichthyosis_linearis_circumflexa Myocardial_Infarction Primary_malignant_neoplasm_of_lung Pulmonary_Fibrosis Psoriasis GENERALIZED_EPILEPSY_WITH_FEBRILE_SEIZURES_PLUS,_TYPE_2 Cataract Malaria Hereditary_cystatin_C_amyloid_angiopathy Inflammatory_disorder Pseudoxanthoma_Elasticum Mycobacterium_Infections Sepsis Solid_Neoplasm Primary_immune_deficiency_disorder Severe_congenital_neutropenia Malignant_neoplasm_of_prostate Malignant_Neoplasms Rheumatoid_Arthritis Escherichia_coli_septicemia Alcoholic_Liver_Diseases Congenital_neutropenia Pancytopenia Leukemia,_Myeloid,_Chronic-Phase
FMOD	EPITHELIAL_MESENCHYMAL_TRANSITION	Age_related_macular_degeneration Kidney_Diseases Metastasis_from_malignant_tumor_of_prostate Atherosclerosis Metastatic_Prostate_Carcinoma Cirrhosis Severe_myopia Arteriosclerosis Fibrosis,_Liver Chronic_Lymphocytic_Leukemia Amyloidosis Urinary_Stress_Incontinence Liver_Cirrhosis
RPS3	MYC_TARGETS_V1	melanoma Malignant_neoplasm_of_breast Breast_Carcinoma Osteosarcoma Werner_Syndrome Osteosarcoma_of_bone Squamous_cell_carcinoma Secondary_malignant_neoplasm_of_lung Adenocarcinoma Transient_ischemia Oedema_auricular
ARF4	COAGULATION	Neoplasm_Metastasis Glioblastoma Epithelial_ovarian_cancer Cystic_kidney Cystic_Kidney_Diseases Breast_Carcinoma Congenital_cystic_kidney_disease
CCT6A	MTORC1_SIGNALING	Colorectal_Cancer Schizophrenia Colorectal_Carcinoma Carcinogenesis
ALDH8A1	BILE_ACID_METABOLISM	
HSPA1L	SPERMATOGENESIS	Complete_atrioventricular_block Graft-vs-Host_Disease Unipolar_Depression Lymphoma Severe_Sepsis Hepatitis_B,_Chronic Carcinoma_of_lung Uveitis Schizophrenia High_altitude_pulmonary_edema Paranoid_Schizophrenia Sarcoid_uveitis Liver_carcinoma Spondylarthropathies Acute_GVH_disease Cataract Breast_Carcinoma Tuberculosis Malignant_neoplasm_of_lung Sarcoidosis Essential_Hypertension Tumor_Progression Lymphoma,_Non-Hodgkin Major_Depressive_Disorder Asthma Cerebrovascular_accident Hepatitis,_Chronic Hepatitis,_Drug-Induced Undifferentiated_spondyloarthropathy Ankylosing_spondylitis Major_depression,_single_episode Parkinson_Disease Liver_Failure Lupus_Erythematosus,_Systemic Childhood_Acute_Lymphoblastic_Leukemia Primary_malignant_neoplasm_of_lung
HSPA1A	COMPLEMENT	Malignant_neoplasm_of_ovary Pancreatitis Ischemic_stroke Small_cell_carcinoma_of_lung Colorectal_Cancer Malignant_Neoplasms Graves_Disease VITILIGO-ASSOCIATED_MULTIPLE_AUTOIMMUNE_DISEASE_SUSCEPTIBILITY_1_(finding) Chronic_Kidney_Diseases Kidney_Failure,_Acute Nasopharyngeal_carcinoma Carcinoma_of_lung Prostate_carcinoma Osteopenia Unipolar_Depression Parkinson_Disease Neoplasm_Metastasis Spondylarthropathies Pancreatitis,_Chronic Malignant_neoplasm_of_stomach Ovarian_Carcinoma Congestive_heart_failure Duodenal_Ulcer Carcinogenesis Central_neuroblastoma Measles Immunologic_Deficiency_Syndromes High_altitude_pulmonary_edema Coronary_Artery_Disease Major_Depressive_Disorder Malignant_tumor_of_colon Transient_Ischemic_Attack Colorectal_Carcinoma Malignant_neoplasm_of_lung Breast_Carcinoma Thyroid_associated_opthalmopathies Alzheimer's_Disease Childhood_Acute_Lymphoblastic_Leukemia Pretibial_myxedema Autoimmune_thyroid_disease Hypopigmentation_disorder Severe_Sepsis Immune_System_Diseases Crohn_Disease Colon_Carcinoma Coronary_Arteriosclerosis Benign_Prostatic_Hyperplasia Hyperglycemia Obesity Dementia,_Vascular Schizophrenia Glioma Carcinoma,_Transitional_Cell Ankylosing_spondylitis Community_acquired_pneumonia Lupus_Erythematosus,_Systemic Tauopathies Diabetes_Mellitus,_Insulin-Dependent Ulcerative_Colitis Diabetes Pneumonitis Carcinoma_breast_stage_IV Diabetes_Mellitus,_Non-Insulin-Dependent Leishmaniasis,_Visceral Carotid_artery_occlusion Multiple_Sclerosis Renal_Cell_Carcinoma Cerebral_Ischemia Graft-vs-Host_Disease Carcinoma_of_bladder Transitional_cell_carcinoma_of_bladder Malignant_neoplasm_of_prostate Vascular_Diseases Diabetes_Mellitus Agranulocytosis Autoimmune_Diseases Pneumonia Male_infertility Inflammatory_Bowel_Diseases Kidney_Failure Non-Small_Cell_Lung_Carcinoma Fibrosarcoma Primary_malignant_neoplasm Cardiovascular_Diseases Malignant_neoplasm_of_breast Primary_malignant_neoplasm_of_lung Cerebrovascular_accident Lymphoma Malignant_neoplasm_of_urinary_bladder Diabetic_Nephropathy Respiratory_Distress_Syndrome,_Newborn Neurodegenerative_Disorders Polycystic_Ovary_Syndrome Glioblastoma Prediabetes_syndrome Paranoid_Schizophrenia melanoma Arteriosclerosis Renal_Insufficiency Bladder_Neoplasm Zinc_deficiency Vitiligo Stomach_Carcinoma Sarcoidosis Coronary_heart_disease Multiple_Myeloma Cerebral_Infarction Tumor_Immunity Liver_carcinoma Enterocutaneous_Fistula leukemia Carotid_Stenosis Acute_pancreatitis Neuroblastoma Metabolic_Diseases Mumps Sleep_Apnea,_Obstructive Amyloidosis Atherosclerosis Ki-1+_Anaplastic_Large_Cell_Lymphoma Respiratory_Distress_Syndrome,_Adult Major_depression,_single_episode Urothelial_Carcinoma
HSPA13	UV_RESPONSE_UP	Down_Syndrome Chromosome_21_monosomy Trisomy Prion_Diseases
HSPA8	G2M_CHECKPOINT	Glioma Merkel_cell_carcinoma Neoplasm_Metastasis Prostate_carcinoma Adenocarcinoma Huntington_Disease Dystonia Amyotrophic_Lateral_Sclerosis Invasive_carcinoma_of_breast Herpes_Simplex_Infections Lung_Neoplasms Cystic_Fibrosis Neuroblastoma Central_neuroblastoma Rabies_(disorder) Glioblastoma Psychotic_episodes Hepatitis_C Melanocytic_nevus melanoma Hepatitis_B Breast_Carcinoma Dystonia_Disorders Liver_carcinoma Tauopathies Exanthema Muscular_Dystrophy Cardiomyopathies Coronary_Artery_Disease Adult_Extraskeletal_Myxoid_Chondrosarcoma Multiple_Myeloma Filariasis Carcinoma_of_lung Myeloid_Leukemia,_Chronic Primary_malignant_neoplasm_of_lung Cervical_Squamous_Cell_Carcinoma Malignant_tumor_of_colon Virus_Diseases Infection_by_Wuchereria_bancrofti Uterine_Cancer Ataxia,_Spinocerebellar Kidney_Failure,_Acute Melanocytic_nevus_of_skin Alzheimer's_Disease Very_Low_Birth_Weight Rheumatoid_Arthritis Colon_Carcinoma Extraskeletal_Myxoid_Chondrosarcoma Malignant_neoplasm_of_lung X-Linked_Emery-Dreifuss_Muscular_Dystrophy Malignant_neoplasm_of_prostate Coronary_heart_disease Parkinson_Disease Coronary_Arteriosclerosis SPINOCEREBELLAR_ATAXIA_17 Malignant_neoplasm_of_breast
DPYSL2	HEDGEHOG_SIGNALING	Shared_Paranoid_Disorder Carcinogenesis Non-Small_Cell_Lung_Carcinoma Primary_malignant_neoplasm_of_lung Alzheimer's_Disease Encephalomyelitis Bipolar_Disorder Neuroblastoma Autistic_Disorder Breast_Carcinoma Abnormal_behavior Neurodegenerative_Disorders Nonorganic_psychosis Alcoholic_Intoxication,_Chronic Psychotic_Disorders Neurofibromatosis_1 Carcinoma_of_lung Malignant_neoplasm_of_lung Neuralgia Huntington_Disease Schizophrenia Central_neuroblastoma Colon_Carcinoma Neuronal_Ceroid-Lipofuscinoses Paranoid_Schizophrenia Infantile_neuronal_ceroid_lipofuscinosis Mental_disorders Multiple_Sclerosis
CRMP1	HEDGEHOG_SIGNALING	Pulmonary_Fibrosis Brain_Infarction Glaucoma Seizures Hamman-Rich_syndrome Carcinogenesis Idiopathic_Pulmonary_Fibrosis Myxoid_cyst Amyloidosis Malignant_neoplasm_of_pancreas Diabetic_Nephropathy melanoma Medulloblastoma Alzheimer's_Disease Pancreatic_carcinoma Idiopathic_pulmonary_arterial_hypertension Glioblastoma_Multiforme Endometriosis Neuroblastoma Carcinoma_of_lung Central_neuroblastoma Heart_failure Neoplasm_Metastasis Muscle_degeneration Social_Anhedonia Childhood_Neuroblastoma Non-Small_Cell_Lung_Carcinoma Impaired_cognition Malignant_neoplasm_of_breast Cardiomyopathy,_Dilated Adenocarcinoma_of_lung_(disorder) Breast_Carcinoma Secondary_malignant_neoplasm_of_lymph_node Primary_malignant_neoplasm_of_lung Thymoma Malignant_neoplasm_of_lung Congestive_heart_failure Endothelial_dysfunction Parkinson_Disease,_Familial,_Type_1 Parkinson_Disease Schizophrenia Hyperglycemia
DPYSL3	EPITHELIAL_MESENCHYMAL_TRANSITION	Lentivirus_Infections Pancreatic_carcinoma Alzheimer's_Disease Middle_Cerebral_Artery_Occlusion Malignant_neoplasm_of_lung Neoplasm_Metastasis Epilepsy Malignant_neoplasm_of_pancreas Stomach_Carcinoma Malignant_neoplasm_of_stomach Pancreatic_Ductal_Adenocarcinoma Prostate_carcinoma Primary_malignant_neoplasm_of_lung Cortical_Dysplasia Secondary_malignant_neoplasm_of_lymph_node Subependymal_Giant_Cell_Astrocytoma Carcinoma_of_lung Secondary_malignant_neoplasm_of_bone Malignant_neoplasm_of_prostate Secondary_malignant_neoplasm_of_liver
MAPK12	MYOGENESIS	Carcinogenesis Liver_carcinoma Breast_Carcinoma Malignant_neoplasm_of_lung Lip_and_Oral_Cavity_Carcinoma Malignant_tumor_of_colon Carcinoma_of_lung melanoma Malignant_neoplasm_of_mouth Squamous_cell_carcinoma Malignant_neoplasm_of_breast Colon_Carcinoma Primary_malignant_neoplasm_of_lung
ATP2A1	MYOGENESIS	Glycogen_Storage_Disease_Type_V MYOTONIC_DYSTROPHY_1 Muscle_degeneration Isaacs_syndrome Brody_myopathy Fatigability Premenstrual_Tension Myofibrillar_Myopathy Muscular_stiffness Dermatologic_disorders Central_Core_Myopathy_(disorder) Muscle_Cramp Myopathy Malignant_hyperpyrexia_due_to_anesthesia Observation_of_Neuromuscular_Block
GTF2B	DNA_REPAIR	melanoma Tumor_Angiogenesis stage,_non-small_cell_lung_cancer Carcinogenesis Autoimmune_Diseases Osteoporosis Multiple_Sclerosis
PPAT	UV_RESPONSE_UP	Epithelial_ovarian_cancer Ovarian_Carcinoma
MAPK11	APICAL_JUNCTION	Glioblastoma Human_immunodeficiency_virus_II_infection Glioblastoma_Multiforme Burkitt_Lymphoma Diffuse_Large_B-Cell_Lymphoma Metabolic_Syndrome_X Non-Small_Cell_Lung_Carcinoma
ABCC4	ANDROGEN_RESPONSE	Endometriosis Pain T-Cell_Lymphoma Pancolitis Left_sided_colitis Cirrhosis Liver_neoplasms Neuroblastoma Childhood_Acute_Lymphoblastic_Leukemia Fatigue Adenocarcinoma_of_rectum Liver_carcinoma Pancreatic_carcinoma Metastasis_from_malignant_tumor_of_prostate Leukemia,_Myelocytic,_Acute Rectal_Carcinoma Platelet_Storage_Pool_Deficiency Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma Oculocerebrorenal_Syndrome Idiopathic_pulmonary_arterial_hypertension Hypertensive_disease Small_cell_carcinoma_of_lung Glaucoma,_Primary_Open_Angle Solid_Neoplasm hiv-infection/aids Secretory_diarrhea Ulcerative_Colitis Liver_diseases Glioblastoma_Multiforme leukemia Plaque,_Amyloid Non-Small_Cell_Lung_Carcinoma Metastatic_Prostate_Carcinoma Colorectal_Carcinoma Stomach_Carcinoma Malignant_neoplasm_of_prostate Asthma De_Toni-Debre-Fanconi_Syndrome Adenocarcinoma_of_pancreas Drug-Induced_Liver_Disease Cervix_carcinoma Primary_malignant_neoplasm_of_lung Alzheimer's_Disease Malignant_neoplasm_of_lung Mesothelioma Progressive_intrahepatic_cholestasis_(disorder) Carcinoma_of_lung Malignant_neoplasm_of_breast Tumor_Progression Gastrointestinal_mucositis Prostate_carcinoma Colorectal_Cancer Liver_Cirrhosis Vascular_Diseases Heart_Failure,_Right-Sided Cholestasis Mucocutaneous_Lymph_Node_Syndrome Adenocarcinoma_of_colon Primary_biliary_cirrhosis Central_neuroblastoma Biliary_cirrhosis Senile_Plaques Malignant_neoplasm_of_pancreas Acute_lymphocytic_leukemia Glioblastoma Fanconi_Anemia cervical_cancer HIV_Infections Squamous_cell_carcinoma_of_esophagus Malignant_neoplasm_of_stomach Breast_Carcinoma Fanconi_Syndrome
TPH1	KRAS_SIGNALING_UP	Attention_deficit_hyperactivity_disorder Impulsive_character_(finding) Antisocial_behavior Major_Depressive_Disorder Diarrhea nervous_system_disorder Cholangiocarcinoma homicidal Major_depression,_single_episode Idiopathic_pulmonary_arterial_hypertension Autistic_Disorder Bone_Diseases,_Developmental MAJOR_AFFECTIVE_DISORDER_2 Panic_Disorder Alcoholic_Intoxication,_Chronic Pineocytoma Mental_Depression Neuroendocrine_Tumors Osteoporosis Borderline_Personality_Disorder Malabsorption_Syndrome Unipolar_Depression Bone_Diseases Somatization Androgen-Insensitivity_Syndrome Schizophrenia Irritable_Bowel_Syndrome Obesity Mental_disorders Premenstrual_Dysphoric_Disorder Hashimoto_Disease pineoblastoma Post-Traumatic_Stress_Disorder Undifferentiated_somatoform_disorder Autism_Spectrum_Disorders Behavior_Disorders Depressive_disorder PANIC_DISORDER_1 Midgut_Carcinoid_Tumor Anxiety Paranoid_Schizophrenia Dental_Enamel_Hypoplasia Impulsive_aggression Steatohepatitis Mood_Disorders Depressive_Symptoms Nicotine_Dependence Anxiety_Disorders Bronchopulmonary_Dysplasia Heroin_Dependence Abnormal_behavior Bipolar_Disorder Hyperostosis Completed_Suicide
GLIPR1	EPITHELIAL_MESENCHYMAL_TRANSITION	Lung_Neoplasms Prostate_cancer_recurrent Malignant_neoplasm_of_ovary Malignant_neoplasm_of_prostate Malignant_neoplasm_of_brain Primary_malignant_neoplasm_of_lung Recurrent_tumor Carcinogenesis Bladder_Neoplasm Prostatic_Neoplasms Metastatic_Prostate_Carcinoma Multiple_malignancy Ovarian_Carcinoma Carcinoma_of_bladder Leukemia,_Myelocytic,_Acute Carcinoma_of_lung Metastasis_from_malignant_tumor_of_prostate Glioma Malignant_neoplasm_of_lung Nephrogenic_rest Prostatic_Intraepithelial_Neoplasias Glioblastoma Malignant_neoplasm_of_urinary_bladder Prostate_carcinoma
