name	hallmark	disease
ILF2	MYC_TARGETS_V1	Multiple_malignancy Pancreatic_Ductal_Adenocarcinoma HIV_Infections Dengue_Fever Cervix_carcinoma Malignant_neoplasm_of_stomach Squamous_cell_carcinoma_of_esophagus cervical_cancer Multiple_Myeloma Malignant_tumor_of_cervix Carcinogenesis Stomach_Carcinoma Papilloma Pancreatic_carcinoma
ITGAM	COMPLEMENT	Bacteremia Asthma Autoimmune_Diseases Periodontitis,_Juvenile Inflammatory_dermatosis Colorectal_Neoplasms Virus_Diseases Eosinophilia Lymphoma,_T-Cell,_Cutaneous Hypercholesterolemia Mucopolysaccharidosis_Type_IIIA Liver_Failure,_Acute Adenoma Lupus_Vulgaris Amyloidosis Oral_Ulcer Secondary_malignant_neoplasm_of_liver Primary_Carcinoma melanoma Hematological_Disease Vascular_fragility Fibrosis,_Liver Systemic_candidiasis Guillain-Barre_Syndrome Parkinson_Disease Multiple_Sclerosis Arteriosclerosis Pancreatic_carcinoma Tumor_Progression IMMUNE_SUPPRESSION Schizophrenia Granulocytosis Hepatitis AURAL_ATRESIA,_CONGENITAL Tumor_Angiogenesis Herpes_Simplex_Infections Diabetes_Mellitus,_Insulin-Dependent Gingivitis Hepatitis_A ATRICHIA_WITH_PAPULAR_LESIONS Central_neuroblastoma Epithelial_ovarian_cancer Congenital_leukocyte_adherence_deficiency Non-alcoholic_Fatty_Liver_Disease Bacterial_Infections Cryoglobulinemia Autoimmune_arthritis Painful_Bladder_Syndrome Lymphocytosis Mycosis_Fungoides Tumor_Expansion Thrombocythemia,_Essential Periodontitis Bipolar_Disorder Diphtheria Graves_Disease Monosomy Leukemia,_Myelocytic,_Acute Septicemia Chronic_Periodontitis Chronic_Obstructive_Airway_Disease stage,_non-small_cell_lung_cancer HIV_Infections Acute_Promyelocytic_Leukemia Prune_Belly_Syndrome Promyelocytic_leukemia Neonatal_encephalopathy Rhabdomyosarcoma Ischemia_of_kidney Van_der_Woude_syndrome Respiratory_Distress_Syndrome,_Adult Colorectal_Cancer Brain_Neoplasms Acute_lymphocytic_leukemia Psoriasis Breast_Carcinoma leukemia Squamous_cell_carcinoma Lymphoproliferative_Disorders Intestinal_Neoplasms Common_Variable_Immunodeficiency Malignant_tumor_of_colon Kidney_Diseases Diabetes_Mellitus Patent_ductus_arteriosus Prostate_carcinoma Influenza Immunologic_Deficiency_Syndromes Acute_myocardial_infarction Encephalitis Trisomy Precursor_B-cell_lymphoblastic_leukemia Early_onset_periodontitis Pulmonary_Emphysema Sepsis Chronic_ulcer Coronary_Artery_Disease Malignant_neoplasm_of_pancreas Malignant_neoplasm_of_breast Giant_Cell_Arteritis Skin_nodule Colorectal_Carcinoma Encephalomyelitis Undifferentiated_carcinoma Crohn_Disease Squamous_cell_carcinoma_of_esophagus Diabetes Coronary_heart_disease Pancolitis Lupus_Erythematosus Malignant_neoplasm_of_ovary Diabetes_Mellitus,_Non-Insulin-Dependent Glioma Arthritis Plaque,_Amyloid Allergic_asthma Myeloid_Leukemia Secondary_malignant_neoplasm_of_lung Carcinogenesis Neutrophilia_(disorder) Colitis Nephritis Myocarditis Splenic_atrophy Neuroblastoma Extrinsic_allergic_alveolitis Hypertensive_disease Stable_angina Acute_Megakaryocytic_Leukemias Carcinoma_of_lung Myocardial_Infarction Melanoma,_B16 Ulcerative_Colitis Lymphoma,_Extranodal_NK-T-Cell Eosinophilic_disorder Histiocytic_sarcoma Malignant_neoplasm_of_lung Adult_Acute_Myeloblastic_Leukemia Hyperthyroidism Neoplasm,_Residual Primary_malignant_neoplasm_of_lung Restenosis Dermatitis Prostatic_Neoplasms Atherosclerosis Astler-Coller_B1_Rectal_Carcinoma Icterus Congenital_chromosomal_disease Lupus_Erythematosus,_Systemic Bladder_Neoplasm Alzheimer's_Disease Chronic_Kidney_Diseases Muscle_degeneration Neoplasm_Metastasis Pleocytosis Coronary_Arteriosclerosis Sarcoma Endothelial_dysfunction Ovarian_Carcinoma Systemic_Scleroderma Down_Syndrome Malignant_neoplasm_of_prostate Non-Small_Cell_Lung_Carcinoma Pancreatitis Lichen_Planus,_Oral Lupus_Erythematosus,_Discoid Malignant_neoplasm_of_colon_stage_IV Diabetic_Foot Chronic_Lymphocytic_Leukemia Lymphoma Monocytosis Waldenstrom_Macroglobulinemia Disorder_of_eye Peritonitis Colon_Carcinoma
CCT6A	MTORC1_SIGNALING	Colorectal_Cancer Schizophrenia Colorectal_Carcinoma Carcinogenesis
RPL9	ALLOGRAFT_REJECTION	Sepsis Spinal_Muscular_Atrophy Septicemia
RPS2	MYC_TARGETS_V1	Prostate_carcinoma Malignant_neoplasm_of_prostate Colorectal_Cancer Turner_Syndrome Hodgkin_Disease Gonadal_Dysgenesis,_45,X
EEF1B2	MYC_TARGETS_V1	
TLR8	KRAS_SIGNALING_UP	Pleural_Effusion,_Malignant Hepatitis_C,_Chronic Allergic_rhinitis_(disorder) Polyendocrinopathies,_Autoimmune Virus_Diseases Psoriasis Tumor_Immunity Malignant_neoplasm_of_prostate Inflammatory_Bowel_Diseases Fanconi_Anemia Lupus_Erythematosus,_Systemic Autoimmune_Diseases Infantile_nystagmus_syndrome Prostate_carcinoma Sepsis Steatohepatitis Cardiovascular_Diseases Diarrhea Malignant_neoplasm_of_pancreas Tuberculosis,_Pulmonary Asthma Squamous_cell_carcinoma_of_the_head_and_neck Prostatic_Neoplasms Infant,_Premature Pericardial_effusion Tuberculosis Arthritis Disorder_of_eye Hypertensive_disease Systemic_Scleroderma Encephalomyelitis Kidney_Diseases Pancreatic_carcinoma Lyme_Disease Hepatitis_C Acute_HIV_infection Multiple_Sclerosis Ischemic_stroke Hepatitis_B Hemorrhagic_Fevers,_Viral Rotavirus_Infections HIV_Infections X-linked_agammaglobulinemia Meningoencephalitis Neoplasm_Metastasis Measles Lupus_Erythematosus Post-Traumatic_Stress_Disorder Septicemia Dengue_Fever Crohn_Disease FANCONI_ANEMIA,_COMPLEMENTATION_GROUP_A_(disorder) Active_tuberculosis Fibrosis,_Liver Actinic_keratosis
CCT3	MYC_TARGETS_V1	Muscle_degeneration Colorectal_Carcinoma Colorectal_Cancer Eosinophilic_myositis_(disorder) Rheumatoid_Arthritis Myotonic_Dystrophy Dystrophia_myotonica_2 FRIEDREICH_ATAXIA_1 Liver_carcinoma Micrognathism Medullary_cystic_kidney_disease_1
SRSF3	MYC_TARGETS_V1	Colorectal_Carcinoma Dysautonomia,_Familial Malignant_neoplasm_of_ovary Breast_Carcinoma Lymphoma,_Follicular Ovarian_Carcinoma Epithelial_ovarian_cancer Hematopoietic_Neoplasms Tumor_Progression Bipolar_Disorder Colorectal_Neoplasms Osteosarcoma_of_bone Influenza Central_neuroblastoma ovarian_neoplasm Liver_carcinoma Osteosarcoma Rhinovirus_infection Picornaviridae_Infections Colorectal_Cancer Cerebrovascular_accident Carcinogenesis Malignant_neoplasm_of_large_intestine Malignant_tumor_of_colon Malignant_neoplasm_of_breast Frontotemporal_dementia Neuroblastoma Tumor_Initiation Alzheimer's_Disease Benign_Ovarian_Neoplasm Colon_Carcinoma
TCP1	MYC_TARGETS_V1	Lymphatic_Metastasis Chagas_Disease Cardiovascular_Pathology Osteoarthritis,_Knee Adenocarcinoma Neoplasm_Metastasis Malignant_neoplasm_of_breast Von_Hippel-Lindau_Syndrome Liver_carcinoma Colorectal_Carcinoma Colorectal_Cancer Breast_Carcinoma Fibromyalgia Lymphoma Ataxia_Telangiectasia Pain Lymphoid_neoplasm Schizophrenia Differentiated_Thyroid_Gland_Carcinoma Gaucher_Disease
RPS5	MYC_TARGETS_V1	Neoplasm_Metastasis Osteoporosis,_Postmenopausal Liver_carcinoma
HNRNPC	MYC_TARGETS_V1	Primary_malignant_neoplasm Non-Small_Cell_Lung_Carcinoma Malignant_neoplasm_of_lung Primary_malignant_neoplasm_of_lung Malignant_Neoplasms invasive_cancer Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Familial_Hypophosphatemic_Rickets Angioimmunoblastic_Lymphadenopathy Ovarian_Carcinoma Colon_Carcinoma Hormone_refractory_prostate_cancer Malignant_neoplasm_of_breast Malignant_tumor_of_colon MYOTONIC_DYSTROPHY_1 Malignant_neoplasm_of_ovary Prostate_carcinoma Carcinoma_of_lung Intestinal_Neoplasms Mixed_Connective_Tissue_Disease Malignant_neoplasm_of_pancreas Adult_T-Cell_Lymphoma/Leukemia Epithelial_ovarian_cancer Rheumatoid_Arthritis Amyotrophic_Lateral_Sclerosis Liver_carcinoma Lupus_Erythematosus,_Systemic Enterovirus_Infections Malignant_neoplasm_of_prostate Breast_Carcinoma Herpes_Simplex_Infections Malignant_neoplasm_of_liver
HTR5A	SPERMATOGENESIS	Impaired_cognition Psychotic_Disorders Unipolar_Depression Bipolar_Disorder Glioma Disturbance_in_mood Autistic_Disorder Mood_Disorders Abnormal_behavior Schizophrenia Mental_disorders Cognition_Disorders
SSB	MYC_TARGETS_V1	Dermatologic_disorders Leukopenia Atrioventricular_Block Pleurisy Sialadenitis Raynaud_Phenomenon Kidney_Diseases Thyroiditis Complete_atrioventricular_block Lupus_Erythematosus,_Discoid Congenital_heart_block Neonatal_Systemic_lupus_erythematosus Mucosa-Associated_Lymphoid_Tissue_Lymphoma Gastric_ulcer Neutropenia Secondary_Sjögren's_syndrome Systemic_Scleroderma Arthritis Primary_Sjögren's_syndrome Bronchiectasis Lupus_Erythematosus,_Systemic Cytomegalovirus_Infections Lupus_Vulgaris Ataxia_Telangiectasia Infant,_Premature Autoimmune_Diseases Rheumatoid_Arthritis Graves_Disease Arthropathy Lupus_Erythematosus Congenital_chromosomal_disease Sjogren's_Syndrome Hepatitis_C
PSMA7	MYC_TARGETS_V1	Chronic_myeloproliferative_disorder Adenocarcinoma_of_lung_(disorder) Abnormal_behavior Virus_Diseases Major_Depressive_Disorder Myeloproliferative_disease leukemia Prostatic_Neoplasms Mental_disorders
RPS10	MYC_TARGETS_V1	Benign_Prostatic_Hyperplasia Anemia,_Diamond-Blackfan Liver_carcinoma
DHX15	MYC_TARGETS_V1	Graft-vs-Host_Disease Neoplasms Glioma Granulomatosis_with_polyangiitis Hepatitis_B Acute_GVH_disease
EEF2	UNFOLDED_PROTEIN_RESPONSE	Childhood_Neuroblastoma Myocardial_Ischemia Dystrophia_myotonica_2 Coronary_Arteriosclerosis Diffuse_Intrinsic_Pontine_Glioma Glioblastoma melanoma Central_neuroblastoma Chikungunya_Fever Diphtheria Alzheimer's_Disease Colorectal_Cancer Malignant_neoplasm_of_prostate Lymphoma,_Non-Hodgkin Lymphoma Neuroblastoma
LAPTM5	KRAS_SIGNALING_UP	Lymphoma Sjogren's_Syndrome Multiple_Myeloma
CCR5	ALLOGRAFT_REJECTION	Early_Rheumatoid_Arthritis Sarcoidosis,_Pulmonary Cirrhosis Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Lupus_Erythematosus,_Systemic Varicella_zoster Infective_vaginitis Lip_and_Oral_Cavity_Carcinoma Respiratory_syncytial_virus_(RSV)_infection_in_conditions_classified_elsewhere_and_of_unspecified_site Immune_thrombocytopenic_purpura Kidney_Failure Encephalitis Periapical_Granuloma Listeriosis Lupus_Erythematosus,_Discoid Presenile_dementia Seropositive_rheumatoid_arthritis Bone_Diseases Plague,_Septicemic Pancreatic_Neoplasm Malignant_tumor_of_colon Sexually_Transmitted_Diseases AIDS_(Disease) Multiple_Sclerosis Primary_HIV_infection Arthritis Chondrosarcoma Infant,_Premature Primary_biliary_cirrhosis Breast_Carcinoma Thyroid_Diseases Herpes_Simplex_Infections Astrocytoma Neoplasm,_Residual Hemorrhagic_Fever,_Crimean Osteomyelitis Degenerative_polyarthritis Diabetes Drug_abuse pediatric_AIDS Adenocarcinoma_of_lung_(disorder) infertility_tubal_factor Asymptomatic_human_immunodeficiency_virus_infection Reproductive_tract_infection Psoriasis_vulgaris COLORBLINDNESS,_PARTIAL,_DEUTAN_SERIES Malignant_neoplasm_of_breast Chronic_periaortitis Diabetes_Mellitus Nephritis,_Tubulointerstitial Carcinoma_of_bladder Infectious_and_parasitic_diseases,_unspecified Toxoplasmosis Sepsis Graves_Disease Lofgrens_syndrome Allergic_asthma Myxoid_cyst Lymphoma,_Follicular Glioma Schizophrenia Periodontal_Diseases Ocular_Toxoplasmosis Tick-Borne_Encephalitis Idiopathic_crescentic_glomerulonephritis Viremia Cardiovascular_Diseases Retinal_Detachment Malignant_neoplasm_of_liver Myocardial_Infarction Childhood_Leukemia Lymphoma,_Large-Cell,_Follicular Pleural_effusion_disorder Generalized_periodontitis Primary_infection_NOS Diabetes_Mellitus,_Non-Insulin-Dependent lung_disease_granulomatous Mycobacterium_avium-intracellulare_Infection Secondary_malignant_neoplasm_of_bone Genital_ulcers Pauci-immune_Glomerulonephritis_associated_with_Granulomatosis_with_Polyangiitis Hantavirus_Infections Multiple_Myeloma Autoimmune_thyroiditis Tuberculosis Cryptosporidiosis Lymphoma Acute_myocardial_infarction Virus_Diseases Cervix_carcinoma Superinfection Arterial_Occlusive_Diseases Nephritis,_Interstitial cervical_cancer Perianal_Crohn's_disease hiv-infection/aids Influenza Lupus_Erythematosus Hypercholesterolemia Leukemia,_Large_Granular_Lymphocytic Acute_GVH_disease Malignant_neoplasm_of_urinary_bladder Coinfection Kidney_Diseases Skin_Erosion Chronic_berylliosis Lupus_Vulgaris Immunologic_Deficiency_Syndromes Situs_Inversus Vasculitis Liver_carcinoma Epstein-Barr_Virus_Infections West_Nile_Fever Mammary_Neoplasms Carotid_Stenosis Leishmaniasis IGA_Glomerulonephritis Encephalitis,_St._Louis melanoma Metastatic_Prostate_Carcinoma Kidney_Failure,_Chronic Diabetic_Nephropathy Bronchiolitis Malaria Ulcerative_Colitis Secondary_malignant_neoplasm_of_lung Central_neuroblastoma Aggressive_Non-Hodgkin_Lymphoma Joint_swelling Systemic_candidiasis Cystic_Fibrosis Periodontitis,_Juvenile Colon_Carcinoma Colorectal_Cancer Pediatric_human_immunodeficiency_virus_infection Choriocarcinoma Coronary_Arteriosclerosis Liver_diseases Cerebrovascular_accident ROSE_Cluster_5 Gaucher_Disease Granulomatosis_with_polyangiitis Multifocal_motor_neuropathy Encephalitis_caused_by_tick-borne_encephalitis_virus Human_immunodeficiency_virus,_type_2_[HIV-2]_infection_in_conditions_classified_elsewhere_and_of_unspecified_site Disseminated_Malignant_Neoplasm Endometriosis Prostate_carcinoma Diabetes_Mellitus,_Insulin-Dependent Left_ventricular_systolic_dysfunction Biliary_stricture Herpes_zoster_disease HIV-1_infection Idiopathic_pulmonary_arterial_hypertension Osteosarcoma Malignant_neoplasm_of_pancreas Smallpox Chronic_kidney_disease_stage_5 Behcet_Syndrome Liver_Cirrhosis Atherosclerosis West_Nile_viral_infection Hemophilia_A Bubonic_Plague Hepatitis_C Arthritis,_Reactive Chronic_graft-versus-host_disease Malignant_tumor_of_cervix Sarcoidosis Neuropathy Tumor_Progression Tuberculosis,_Pulmonary Glioblastoma Chronic_Chagas'_disease Encephalomyelitis Juvenile_rheumatoid_arthritis Arthritis,_Psoriatic Dengue_Fever Malignant_neoplasm_of_mouth Alzheimer's_Disease Peripheral_arterial_occlusive_disease Mucocutaneous_Lymph_Node_Syndrome Active_tuberculosis Crohn_Disease Meningoencephalitis Enthesitis-Related_Arthritis Metabolic_Syndrome_X Herpesviridae_Infections Opportunistic_Infections Hashimoto_Disease Lung_diseases Infections_specific_to_perinatal_period Pleural_Tuberculosis Oculocutaneous_albinism_type_1 B-Cell_Lymphomas Pneumocystis_jiroveci_pneumonia Metastasis_from_malignant_tumor_of_prostate Aortic_Aneurysm,_Abdominal nervous_system_disorder Lymphoma,_AIDS-Related Chronic_liver_disease Chagas_Disease Psoriasis Adenocarcinoma_of_pancreas Malignant_neoplasm_of_prostate Autoimmune_Diseases Parasitemia Lichen_Planus,_Oral Inflammatory_abdominal_aortic_aneurysm Pancreatic_carcinoma Asthma Syphilis Ichthyosis_linearis_circumflexa CNS_disorder Arteriosclerosis Idiopathic_retroperitoneal_fibrosis Acquired_Immunodeficiency_Syndrome Rheumatoid_Arthritis Bladder_Neoplasm MYOTONIC_DYSTROPHY_1 Mouth_Neoplasms Aggressive_periodontitis,_generalized Metastatic_melanoma Acute_periodontitis Obesity Inflammatory_Bowel_Diseases leukemia Coronary_Artery_Disease Chronic_Obstructive_Airway_Disease Hodgkin_Disease Primary_sclerosing_cholangitis Periodontitis Coronary_Aneurysm Vesicular_Stomatitis AIDS_Dementia_Complex Nonalcoholic_Steatohepatitis Celiac_Disease Graft-vs-Host_Disease Lupus_Nephritis Pneumoconiosis Neuroborreliosis HIV_Infections Syphilis,_secondary Upper_urinary_tract_infection Aggressive_natural_killer-cell_leukemia Fibrosis,_Liver Lymphoma,_Non-Hodgkin Leukemia,_Myelocytic,_Acute Precancerous_Conditions Kaposi_Sarcoma AIDS_defining_illness Leprosy Juvenile_arthritis Tumor_Angiogenesis Dementia Neuroblastoma Liver_Failure,_Acute Hemophilia,_NOS Giant_Cell_Arteritis Hepatitis_B Anthracosis Arthropathy Coronary_heart_disease Down_Syndrome Osteosarcoma_of_bone Demyelinating_Diseases Neoplasm_Metastasis Hepatitis_C,_Chronic Yellow_Fever Colorectal_Carcinoma
FGR	ALLOGRAFT_REJECTION	Nasopharyngeal_carcinoma Breast_Carcinoma Diabetes_Mellitus Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Recurrent_tumor Adult_Liver_Carcinoma Lymphoma Osteosarcoma Chronic_Lymphocytic_Leukemia Uterine_Fibroids Burkitt_Lymphoma Thyroid_Hormone_Resistance_Syndrome Malignant_neoplasm_of_breast Malabsorption_Syndrome Malignant_neoplasm_of_liver early_pregnancy Female_Genital_Diseases Aortic_Valve_Insufficiency Diabetes_Mellitus,_Insulin-Dependent Liver_carcinoma Lymphoproliferative_Disorders Epstein-Barr_Virus_Infections Osteosarcoma_of_bone Fibroid_Tumor Carcinogenesis Diabetes Tumor_Progression Leukemia,_Myelocytic,_Acute Androgen-Insensitivity_Syndrome
